DOMAINPRODUCTGROUP,COUNTRY,PERIOD,REPORTINGCHANNEL,BRAND,Item,AIRPLAY,GOOGLECAST/HOME,CONSUMP STANDBY,CONSUMPTION W,CURVED SCREEN,DISPLAY TECHNOL,HD TYPES,LED,RESOLUTION,SCREEN FORMAT,Signal Source,HDMI STANDARD,SIZE/INCH,Smart TV,SMART TV UI,HDR & DOLBY VIS,OPERATING SYST.,DTSX/DOLATMOS,DTSVIX/DOLHEIVI,GPU SYNC,MINILED BACKLIT,OLED/QLED,SERIES,SMART CONNECT,VERTICAL FREQ.,VRR,WCG,FirstActivity,POSType/Channel,SALES UNITS,SALES VALUE EUR,SALES VALUE SAR,PRICE EUR,PRICE SAR,UNW. AVG. DISTRIBUTION SELLING,WGT. AVG. DISTRIBUTION SELLING
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,ONIX,CRYSTAL 42,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,FULL HD,LED,1920X1080,16:09:00,DVB-T,VERSION UNKNOWN,42,SMART TV,OTHER SMART UI,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,60,N.A.,NO WCG,JANUARY 2023,MASS MERCHANDISERS/DIYSS,2.281,450,1805,197,791,7.6,19.6
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,ONIX,CRYSTAL 42,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,FULL HD,LED,1920X1080,16:09:00,DVB-T,VERSION UNKNOWN,42,SMART TV,OTHER SMART UI,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,60,N.A.,NO WCG,JANUARY 2023,MASS MERCHANDISERS/DIYSS,38.3699,5745,23582,150,615,0.6,25.3
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,SONY,KD-75X7800F,NO AIRPLAY,,0.5,370,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,N.A.,N.A.,75,SMART TV,ANDR/GOOGLE TV,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,SONY X78,SMART APP CTRL.,60,N.A.,NO WCG,OCTOBER 2018,MASS MERCHANDISERS/DIYSS,1,998,3999,998,3999,0.4,2.1
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,SAMSUNG,UA58CU7000,NO AIRPLAY,,UNKNOWN,175,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2/S/C,VERSION UNKNOWN,58,SMART TV,SAMSUNG TIZEN,HDR10+,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,SAM. U70,SMART APP CTRL.,60,N.A.,NO WCG,MAY 2023,MASS MERCHANDISERS/DIYSS,30.0983,13633,55966,453,1859,2.9,20.4
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,SAMSUNG,UA70CU7000,NO AIRPLAY,,UNKNOWN,240,NOT CURVED,LCD-DISPLAY,ULTRA HD/4K (3840X2160P),LED,3840X2160,16:09:00,DVB-T/T2/S/C,VERSION UNKNOWN,70,SMART TV,SAMSUNG TIZEN,HDR10+,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,SAM. U70,SMART APP CTRL.,60,N.A.,NO WCG,APRIL 2023,MASS MERCHANDISERS/DIYSS,3,1851,7597,617,2532,0.9,1.7
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,LG,49LH590V,NO AIRPLAY,,0.49,UNKNOWN,NOT CURVED,LCD-DISPLAY,FULL HD,LED,1920X1080,16:09:00,DVB-T/T2/S/C,HDMI 1.4,49,SMART TV,LG WEB OS,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,LG L59,SMART APP CTRL.,N.A.,N.A.,NO WCG,JULY 2016,MASS MERCHANDISERS/DIYSS,4,973,3996,243,999,0.6,1.8
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,IMPEX,GLORIA 40 SMART,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,FULL HD,LED,1920X1080,16:09:00,DVB-T,VERSION UNKNOWN,40,SMART TV,ANDR/GOOGLE TV,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,NOVEMBER 2020,MASS MERCHANDISERS/DIYSS,258.755,39953,160110,154,619,21.4,30.2
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,IMPEX,GLORIA 40 SMART,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,FULL HD,LED,1920X1080,16:09:00,DVB-T,VERSION UNKNOWN,40,SMART TV,ANDR/GOOGLE TV,HDR10,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,NOVEMBER 2020,MASS MERCHANDISERS/DIYSS,511.8869,80293,329610,157,644,18.1,75
PTV/FLAT,SAUDI ARABIA,JAN 23,PANELMARKET,VISIO,40VSJ,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,FULL HD,LED,1920X1080,16:09:00,DVB-T,VERSION UNKNOWN,40,SMART TV,OTHER SMART UI,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,NOVEMBER 2022,MASS MERCHANDISERS/DIYSS,15.657,2315,9279,148,593,0.4,6.6
PTV/FLAT,SAUDI ARABIA,JAN 24,PANELMARKET,VISIO,40VSJ,NO AIRPLAY,,UNKNOWN,UNKNOWN,NOT CURVED,LCD-DISPLAY,FULL HD,LED,1920X1080,16:09:00,DVB-T,VERSION UNKNOWN,40,SMART TV,OTHER SMART UI,NO HDR / NO DV,,NO,NO,NO GPU SYNC,NO MINILED,LCD ONLY,N.A.,SMART APP CTRL.,N.A.,N.A.,NO WCG,NOVEMBER 2022,MASS MERCHANDISERS/DIYSS,57.3178,7183,29486,125,514,0.6,25.3
